Name,Class,Rating,Total Rater,Facility,Price,Area
butternut tree townhomes,2-star hotel,4.4,(141),"['Free Wi-Fi', 'Air conditioning', 'Kitchen in some rooms', 'Child-friendly']","IDR 1,350,000",Bandung
Sa'ci Guest House,2-star hotel,4.5,(96),"['Free Wi-Fi', 'Free parking', 'Child-friendly']","IDR 885,416",Bandung
Pilatus Hotel Bandung,2-star hotel,4.2,(139),"['Free Wi-Fi', 'Free parking', 'Air conditioning']",0,Bandung
RedDoorz @ Supratman Street,2-star hotel,3.9,(324),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 178,460",Bandung
RedDoorz near Gedung Sate 3,2-star hotel,3.9,(106),"['Free Wi-Fi', 'Parking', 'Child-friendly']","IDR 179,011",Bandung
Supratman Hotel,2-star hotel,4.3,(348),"['Free breakfast', 'Free Wi-Fi', 'Room service', 'Full-service laundry', 'Child-friendly']",0,Bandung
OYO 230 Maleo Residence,2-star hotel,3.9,(799),"['Free Wi-Fi', 'Full-service laundry']","IDR 93,564",Bandung
OYO 367 Ridha Residence,2-star hotel,4.6,(196),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']",0,Bandung
Garden Hostel,-,4,(2),['Free Wi-Fi'],"IDR 151,819",Bandung
Hotel Rinjani,2-star hotel,3.9,(284),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']",0,Bandung
Grand Kembar Hotel,2-star hotel,4,(396),"['Free Wi-Fi', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 140,284",Bandung
Hotel Anda,2-star hotel,3.5,(133),"['Free parking', 'Breakfast', 'Wi-Fi', 'Accessible', 'Child-friendly']",0,Bandung
OYO 2947 Cluster Harris Home Stay & Kos,2-star hotel,4.2,(260),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 163,663",Bandung
OYO 3743 Gania Hotel,2-star hotel,4.5,(108),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']",0,Bandung
Hotel Grage Bandung,2-star hotel,4.3,(124),['Free Wi-Fi'],0,Bandung
Bumi Resik Family Homestay,2-star hotel,4.2,(47),"['Free parking', 'Air conditioning', 'Child-friendly']","IDR 662,768",Bandung
Hotel Candra,2-star hotel,3.6,(257),"['Free breakfast', 'Free parking']",0,Bandung
SASKAVA Hotel & Resto,2-star hotel,4.4,(241),"['Free Wi-Fi', 'Child-friendly']",0,Bandung
Hotel Cibiru Endah,2-star hotel,4.1,(622),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Room service', 'Full-service laundry', 'Child-friendly']",0,Bandung
Hotel Arsallya,2-star hotel,4.1,(294),"['Breakfast', 'Air conditioning', 'Child-friendly']",0,Bandung
Hotel Gurame,2-star hotel,4,(195),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']",0,Bandung
Airy Dago Munding Laya 2 Cikapayang Bandung,2-star hotel,5,(2),"['Free Wi-Fi', 'Air conditioning', 'Breakfast', 'Parking', 'Restaurant', 'Room service', 'Smoke-free property']",0,Bandung
De Kapten Cottage Setiabudi,-,3.1,(9),[],0,Bandung
RedDoorz near Trans Studio Mall,2-star hotel,4,(35),"['Free Wi-Fi', 'Free parking', 'Child-friendly']",0,Bandung
Rumah Anda Guest House,2-star hotel,4.2,(84),"['Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Full-service laundry', 'Child-friendly']",0,Bandung
Bee M Guesthouse,2-star hotel,4,(219),"['Air conditioning', 'Child-friendly']","IDR 100,380",Bandung
Graha Asri Hotel,2-star hotel,3.3,(103),"['Free parking', 'Child-friendly']",0,Bandung
Hotel Sukamulya,2-star hotel,4.1,(225),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Room service', 'Full-service laundry']",0,Bandung
Wisma Dago 11,2-star hotel,4.1,(252),"['Free Wi-Fi', 'Full-service laundry']","IDR 176,782",Bandung
Wisma Dago,2-star hotel,4,(498),"['Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']",0,Bandung
