Name,Class,Rating,Total Rater,Facility,Price,Area
Harlys Residence,2-star hotel,4.1,"(1,460)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']",0,Jakarta
RedDoorz Premium @ Cilandak Timur 2,2-star hotel,4.5,(243),"['Free Wi-Fi', 'Outdoor pool']","IDR 184,569",Jakarta
OYO 3194 Margonda Executive,2-star hotel,3.6,(179),"['Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning']","IDR 104,745",Jakarta
Daun Residence,2-star hotel,4.5,(205),"['Free Wi-Fi', 'Parking', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']","IDR 337,575",Jakarta
Smart Hotel Thamrin Jakarta,2-star hotel,3.3,"(1,045)","['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 208,496",Jakarta
Gayatri Residence,2-star hotel,4.3,(44),"['Free Wi-Fi', 'Pool']","IDR 124,284",Jakarta
AMS Penthouse Hotel,2-star hotel,4,(485),"['Free Wi-Fi', 'Air conditioning', 'Full-service laundry']","IDR 107,638",Jakarta
The Packer Lodge,2-star hotel,4.5,(455),"['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Airport shuttle', 'Full-service laundry']","IDR 196,029",Jakarta
Bold Hotel,2-star hotel,4.5,(828),"['Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 171,493",Jakarta
Bobobox Pancoran,2-star hotel,4.6,(712),"['Free Wi-Fi', 'Air conditioning']","IDR 207,028",Jakarta
Hotel Istana Bungur,2-star hotel,3.7,(431),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Full-service laundry']","IDR 127,322",Jakarta
Bangka Suite,2-star hotel,4.6,(260),"['Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Child-friendly']","IDR 238,191",Jakarta
Urbanview Hotel Minongga Pondok Labu,2-star hotel,4.1,(462),['Free Wi-Fi'],"IDR 167,438",Jakarta
Nite & Day Hotel Mangga Besar,2-star hotel,4.1,(625),"['Free Wi-Fi', 'Air conditioning', 'Breakfast', 'Full-service laundry', 'Accessible', 'Child-friendly', 'Smoke-free property']","IDR 270,000",Jakarta
MK HOUSE TENDEAN,2-star hotel,4.4,(548),"['Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 113,133",Jakarta
Urbanview Hotel Mroom PH,2-star hotel,3.9,(622),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 166,725",Jakarta
MUTIARA SUITES | Jakarta,2-star hotel,4.3,(366),"['Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 277,633",Jakarta
Amaris Hotel Panglima Polim,2-star hotel,4.2,(901),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 247,455",Jakarta
Capsule Hotel New Batavia,2-star hotel,4.5,(490),"['Free breakfast', 'Free Wi-Fi', 'Parking ($)', 'Air conditioning', 'Bar', 'Restaurant', 'Kitchen in some rooms', 'Full-service laundry']","IDR 208,248",Jakarta
Augusta Hotel,2-star hotel,3.8,(521),"['Free breakfast', 'Free Wi-Fi', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 214,813",Jakarta
City Style Residence,2-star hotel,4.1,(211),['Free Wi-Fi'],"IDR 113,466",Jakarta
Oekude Residence,2-star hotel,4.2,(336),"['Free Wi-Fi', 'Air conditioning', 'Breakfast', 'Full-service laundry', 'Child-friendly', 'Smoke-free property']","IDR 95,771",Jakarta
Lagura Residence Guest House,2-star hotel,4.1,(447),['Free Wi-Fi'],"IDR 161,924",Jakarta
ZEN Rooms De 80's Ekonomi,2-star hotel,4,(207),"['Free Wi-Fi', 'Free parking', 'Air conditioning']","IDR 102,586",Jakarta
Bangka Bed and Breakfast,2-star hotel,4.3,(48),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 174,031",Jakarta
OYO 115 Portal Residence,2-star hotel,3.9,(55),['Free Wi-Fi'],"IDR 140,885",Jakarta
OYO 141 Fatmawati Cozy Residence,2-star hotel,3.9,(194),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 178,852",Jakarta
RedDoorz near Central Park Mall,2-star hotel,4.4,(191),['Free Wi-Fi'],"IDR 103,970",Jakarta
The Plaza Hotel Glodok,2-star hotel,4.1,(532),"['Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 188,979",Jakarta
UniK Guest House,2-star hotel,4.3,(24),"['Free Wi-Fi', 'Free parking', 'Air conditioning']","IDR 160,000",Jakarta
N3 Hotel Zainul Arifin,2-star hotel,3.9,(380),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 152,456",Jakarta
Residence 100,2-star hotel,3.8,(345),"['Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Child-friendly']","IDR 170,375",Jakarta
Icorner Residence,2-star hotel,4.2,(344),"['Free Wi-Fi', 'Air conditioning']","IDR 191,474",Jakarta
OYO 1805 Fatmawati Mansion Syariah,2-star hotel,4.1,(113),"['Free Wi-Fi', 'Full-service laundry']","IDR 109,724",Jakarta
Central Front One Inn Jakarta Airport,2-star hotel,4.3,(348),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 252,756",Jakarta
Hotel Lautze Indah,2-star hotel,3.7,(658),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 215,024",Jakarta
Villa Srimanganti,2-star hotel,4.3,(959),"['Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Breakfast', 'Child-friendly']","IDR 155,530",Jakarta
Focus Hotel,2-star hotel,4.1,(433),"['Free Wi-Fi', 'Air conditioning']","IDR 305,415",Jakarta
U Stay Hotel Gunung Sahari Jakarta,2-star hotel,3.7,(616),"['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 137,210",Jakarta
Wonderloft Hostel,2-star hotel,4.5,(774),"['Breakfast ($)', 'Free Wi-Fi', 'Air conditioning', 'Parking', 'Airport shuttle', 'Full-service laundry']","IDR 155,875",Jakarta
Magnolia Hotel,2-star hotel,3.9,(295),"['Free Wi-Fi', 'Air conditioning']","IDR 327,509",Jakarta
